firstname,lastname,ranking,age,year
Hans,Schwaier,87,20,1984
Henrik,Sundstrom,7,20,1984
Mats,Wilander,4,20,1984
Jimmy,Brown,65,20,1985
Jonathan,Canter,73,20,1985
Pat,Cash,67,20,1985
Guy,Forget,61,20,1985
Peter,Lundgren,31,20,1985
Amos,Mansdorf,84,20,1985
Emilio,Sanchez,64,20,1985
Marian,Vajda,52,20,1985
Michael,Westphal,51,20,1985
Simon,Youl,90,20,1985
Jay,Berger,82,20,1986
Andrei,Chesnokov,36,20,1986
Horacio,De La Pena,38,20,1986
Stefan,Edberg,5,20,1986
Brad,Pearce,92,20,1986
Jonas,Svensson,21,20,1986
Boris,Becker,5,20,1987
Christian,Bergstrom,69,20,1987
Magnus,Gustafsson,53,20,1987
Aaron,Krickstein,61,20,1987
Tore,Meinecke,64,20,1987
Thomas,Muster,56,20,1987
Claudio,Pistolesi,97,20,1987
Carl Uwe,Steeb,41,20,1987
Ulf,Stenlund,43,20,1987
Jaime,Yzaga,70,20,1987
Kent,Carlsson,6,20,1988
Christian,Saceanu,88,20,1988
Javier,Sanchez,55,20,1988
Horst,Skoff,45,20,1988
Jeff,Tarango,96,20,1988
Alberto,Mancini,9,20,1989
Guillermo,Perez Roldan,32,20,1989
David,Wheaton,66,20,1989
Andre,Agassi,4,20,1990
Cristiano,Caratti,98,20,1990
Andrei,Cherkasov,21,20,1990
Jim,Courier,25,20,1990
Franco,Davin,35,20,1990
Richard,Fromberg,32,20,1990
Renzo,Furlan,77,20,1990
Lars,Jonsson,100,20,1990
Magnus,Larsson,56,20,1990
Guillaume,Raoux,84,20,1990
Marc,Rosset,22,20,1990
Sergi,Bruguera,11,20,1991
Wayne,Ferreira,41,20,1991
Goran,Ivanisevic,16,20,1991
Lars,Koslowski,89,20,1991
Richard,Krajicek,45,20,1991
Nicklas,Kulti,80,20,1991
Stefano,Pescosolido,65,20,1991
Pete,Sampras,6,20,1991
Todd,Woodbridge,77,20,1991
Michael,Chang,6,20,1992
Martin,Damm,91,20,1992
Marcos,Ondruska,67,20,1992
Fabrice,Santoro,43,20,1992
Alberto,Berasategui,36,20,1993
Kenneth,Carlsen,92,20,1993
Andrea,Gaudenzi,60,20,1993
David,Prinosil,77,20,1993
Patrick,Rafter,66,20,1993
Greg,Rusedski,50,20,1993
Alex,Corretja,22,20,1994
Thomas,Enqvist,59,20,1994
Yevgeny,Kafelnikov,11,20,1994
Karol,Kucera,54,20,1994
Oscar,Martinez,83,20,1994
Andrei,Medvedev,15,20,1994
Vincent,Spadea,75,20,1994
Albert,Costa,24,20,1995
Hendrik,Dreekmann,93,20,1995
Jiri,Novak,53,20,1995
Bohdan,Ulihrach,28,20,1995
Galo,Blanco,97,20,1996
Gustavo,Kuerten,88,20,1996
Carlos,Moya,28,20,1996
Magnus,Norman,86,20,1996
Mark,Philippoussis,30,20,1996
Marcelo,Rios,11,20,1996
Sjeng,Schalken,65,20,1996
Julian,Alonso,36,20,1997
Nicolas,Kiefer,32,20,1997
Sebastien,Grosjean,88,20,1998
Tommy,Haas,34,20,1998
Dominik,Hrbaty,46,20,1998
Mariano,Puerta,39,20,1998
Mariano,Zabaleta,63,20,1998
Arnaud,Di Pasquale,47,20,1999
Ivan,Ljubicic,77,20,1999
Nicolas,Massu,97,20,1999
Paradorn,Srichaphan,99,20,1999
Juan Carlos,Ferrero,12,20,2000
Marat,Safin,2,20,2000
Nikolay,Davydenko,79,20,2001
Roger,Federer,13,20,2001
Lleyton,Hewitt,1,20,2001
Jarkko,Nieminen,61,20,2001
Kristian,Pless,68,20,2001
Andreas,Vinciguerra,34,20,2001
Jose,Acasuso,41,20,2002
Guillermo,Coria,45,20,2002
David,Ferrer,59,20,2002
Robby,Ginepri,100,20,2002
Paul Henri,Mathieu,36,20,2002
David,Nalbandian,12,20,2002
Tommy,Robredo,30,20,2002
Andy,Roddick,10,20,2002
Mikhail,Youzhny,32,20,2002
Igor,Andreev,88,20,2003
Mario,Ancic,29,20,2004
Juan,Monaco,73,20,2004
Robin,Soderling,34,20,2004
Marcos,Baghdatis,55,20,2005
Tomas,Berdych,24,20,2005
Jimmy,Wang,100,20,2005
Stanislas,Wawrinka,54,20,2005
Richard,Gasquet,18,20,2006
Gael,Monfils,46,20,2006
Rafael,Nadal,2,20,2006
Novak,Djokovic,3,20,2007
Fabio,Fognini,95,20,2007
Andy,Murray,11,20,2007
Sam,Querrey,63,20,2007
Mischa,Zverev,88,20,2007
Thomaz,Bellucci,85,20,2008
Marin,Cilic,23,20,2008
Juan Martin,Del Potro,9,20,2008
Ernests,Gulbis,53,20,2008
Ricardas,Berankis,87,20,2010
Kei,Nishikori,98,20,2010
Grigor,Dimitrov,76,20,2011
Milos,Raonic,31,20,2011
Ryan,Harrison,69,20,2012
Bernard,Tomic,52,20,2012
Jiri,Vesely,85,20,2013
Nick,Kyrgios,30,20,2015
Jimmy,Connors,3,21,1973
Brian,Gottfried,21,21,1973
Harold,Solomon,59,21,1973
Guillermo,Vilas,31,21,1973
Vijay,Amritraj,39,21,1974
Corrado,Barazzutti,57,21,1974
Raul,Ramirez,19,21,1974
Victor,Amaya,96,21,1975
Vitas,Gerulaitis,15,21,1975
Paul,Kronk,89,21,1975
John,Lloyd,93,21,1975
Bernard,Mitton,51,21,1975
Ulrich,Pinner,60,21,1975
Balazs,Taroczy,69,21,1975
John,Whitlinger,98,21,1975
Buster C,Mottram,41,21,1976
Victor,Pecci,34,21,1976
Belus,Prajoux,66,21,1976
Brian,Teacher,81,21,1976
Trey,Waltke,84,21,1976
Butch,Walts,79,21,1976
Bjorn,Borg,3,21,1977
Hans,Gildemeister,43,21,1977
Billy,Martin,59,21,1977
Nick,Saviano,62,21,1977
Bill,Scanlon,37,21,1977
Tomas,Smid,67,21,1977
John,Austin,97,21,1978
Chris,Lewis NZL,40,21,1978
Jose Luis,Clerc,17,21,1979
Brad,Drewett,78,21,1979
Johan,Kriek,35,21,1979
Fernando,Luna,87,21,1979
Peter,Rennert,60,21,1979
Eduardo,Bengoechea,83,21,1980
Gustavo,Guerrero,78,21,1980
Heinz,Gunthardt,25,21,1980
John,Mcenroe,2,21,1980
Pascal,Portes,61,21,1980
Mel,Purcell,27,21,1980
Eliot,Teltscher,10,21,1980
Robert,Vant Hof,96,21,1980
Tim,Wilkison,85,21,1980
Van,Winitsky,90,21,1980
Pablo,Arraya,36,21,1983
Juan,Avendano,93,21,1983
Mike,De Palmer,51,21,1983
Brad,Gilbert,54,21,1983
Rodney,Harmon,67,21,1983
Anders,Jarryd,60,21,1983
Ramesh,Krishnan,100,21,1983
Mario,Martinez,74,21,1983
Paul,Annacone,94,21,1984
Francesco,Cancellotti,26,21,1984
Sammy,Giammalva Jr,47,21,1984
Thomas,Hogstedt,84,21,1984
Greg,Holmes,59,21,1984
Henri,Leconte,27,21,1984
Joakim,Nystrom,11,21,1984
Libor,Pimek,25,21,1984
Thierry,Tulasne,54,21,1984
Ronald,Agenor,49,21,1985
Jimmy,Arias,21,21,1985
Lawson,Duncan,59,21,1985
Jakob,Hlasek,33,21,1985
Martin,Jaite,20,21,1985
Francisco,Maciel,71,21,1985
Miloslav,Mecir,9,21,1985
Hans,Schwaier,47,21,1985
Henrik,Sundstrom,22,21,1985
Mats,Wilander,3,21,1985
Tarik,Benhabiles,46,21,1986
Paolo,Cane,44,21,1986
Jonathan,Canter,41,21,1986
Pat,Cash,24,21,1986
Jean Philippe,Fleurian,78,21,1986
Guy,Forget,25,21,1986
Eric,Jelen,31,21,1986
Peter,Lundgren,98,21,1986
Amos,Mansdorf,37,21,1986
Karel,Novacek,33,21,1986
Derrick,Rostagno,70,21,1986
Emilio,Sanchez,16,21,1986
Marian,Vajda,88,21,1986
Jay,Berger,47,21,1987
Andrei,Chesnokov,52,21,1987
Horacio,De La Pena,88,21,1987
Stefan,Edberg,2,21,1987
Nicklas,Kroon,90,21,1987
Patrik,Kuhnen,83,21,1987
Jonas,Svensson,30,21,1987
Boris,Becker,4,21,1988
Christian,Bergstrom,71,21,1988
Marcelo,Filippini,53,21,1988
Javier,Frana,85,21,1988
Magnus,Gustafsson,51,21,1988
Aaron,Krickstein,15,21,1988
Leonardo,Lavalle,64,21,1988
Shuzo,Matsuoka,82,21,1988
Thomas,Muster,16,21,1988
Bruno,Oresar,57,21,1988
Carl Uwe,Steeb,73,21,1988
Alexander,Volkov,79,21,1988
Jaime,Yzaga,65,21,1988
Omar,Camporese,49,21,1989
Tomas,Carbonell,77,21,1989
Mark,Koevermans,63,21,1989
Petr,Korda,59,21,1989
Javier,Sanchez,51,21,1989
Horst,Skoff,25,21,1989
Michael,Stich,100,21,1989
Guillermo,Perez Roldan,14,21,1990
Malivai,Washington,93,21,1990
David,Wheaton,27,21,1990
Andre,Agassi,10,21,1991
Cristiano,Caratti,42,21,1991
Andrei,Cherkasov,21,21,1991
Jim,Courier,2,21,1991
Frederic,Fontang,59,21,1991
Richard,Fromberg,95,21,1991
Renzo,Furlan,52,21,1991
Lars,Jonsson,78,21,1991
Magnus,Larsson,61,21,1991
Gabriel,Markus,66,21,1991
Jaime,Oncins,64,21,1991
Marc,Rosset,60,21,1991
Jan,Siemerink,26,21,1991
Jason,Stoltenberg,75,21,1991
Sergi,Bruguera,16,21,1992
Wayne,Ferreira,12,21,1992
Luis,Herrera,59,21,1992
Goran,Ivanisevic,4,21,1992
Richard,Krajicek,10,21,1992
Nicklas,Kulti,79,21,1992
Stefano,Pescosolido,62,21,1992
Pete,Sampras,3,21,1992
Jonathan,Stark,85,21,1992
Todd,Woodbridge,54,21,1992
Jonas,Bjorkman,96,21,1993
Jordi,Burillo,56,21,1993
Michael,Chang,8,21,1993
Martin,Damm,80,21,1993
Marcos,Ondruska,47,21,1993
Fabrice,Santoro,55,21,1993
Karim,Alami,88,21,1994
Alberto,Berasategui,8,21,1994
Andrea,Gaudenzi,24,21,1994
Patrick,Rafter,20,21,1994
Lionel,Roux,63,21,1994
Alex,Corretja,48,21,1995
Scott,Draper,87,21,1995
Thomas,Enqvist,7,21,1995
Kris,Goossens,91,21,1995
Tim,Henman,95,21,1995
Yevgeny,Kafelnikov,6,21,1995
Jan,Kroslak,97,21,1995
Karol,Kucera,79,21,1995
Felix,Mantilla,92,21,1995
Andrei,Medvedev,16,21,1995
Vincent,Spadea,81,21,1995
Adrian,Voinea,56,21,1995
Roberto,Carretero,67,21,1996
Albert,Costa,13,21,1996
Hendrik,Dreekmann,49,21,1996
Thomas,Johansson,60,21,1996
Jiri,Novak,52,21,1996
Bohdan,Ulihrach,41,21,1996
Galo,Blanco,52,21,1997
Nicolas,Escude,93,21,1997
Gustavo,Kuerten,14,21,1997
Nicolas,Lapentti,63,21,1997
Carlos,Moya,7,21,1997
Magnus,Norman,22,21,1997
Mark,Philippoussis,18,21,1997
Marcelo,Rios,10,21,1997
Sjeng,Schalken,59,21,1997
Guillermo,Canas,95,21,1998
Jan Michael,Gambill,38,21,1998
Justin,Gimelstob,80,21,1998
Nicolas,Kiefer,35,21,1998
Stefan,Koubek,93,21,1998
Fernando,Vicente,54,21,1998
Arnaud,Clement,56,21,1999
Gaston,Gaudio,72,21,1999
Sebastien,Grosjean,27,21,1999
Tommy,Haas,11,21,1999
Markus,Hipfl,76,21,1999
Dominik,Hrbaty,21,21,1999
Alberto,Martin,57,21,1999
Mariano,Zabaleta,28,21,1999
Juan Ignacio,Chela,63,21,2000
Arnaud,Di Pasquale,60,21,2000
Daniel,Elsner,98,21,2000
Michel,Kratochvil,93,21,2000
Ivan,Ljubicic,91,21,2000
Nicolas,Massu,87,21,2000
Michal,Tabara,96,21,2000
James,Blake,73,21,2001
