firstname,lastname,ranking,age,year
Thomas,Enqvist,9,22,1996
Tim,Henman,29,22,1996
Yevgeny,Kafelnikov,3,22,1996
Karol,Kucera,63,22,1996
Felix,Mantilla,18,22,1996
Andrei,Medvedev,35,22,1996
Alex,Radulescu,77,22,1996
Vincent,Spadea,54,22,1996
Johan,Van Herck,91,22,1996
Adrian,Voinea,45,22,1996
Albert,Costa,19,22,1997
Hendrik,Dreekmann,91,22,1997
Thomas,Johansson,39,22,1997
Juan Antonio,Marin,87,22,1997
Jiri,Novak,48,22,1997
Bohdan,Ulihrach,34,22,1997
Galo,Blanco,82,22,1998
Ramon,Delgado,56,22,1998
Nicolas,Escude,37,22,1998
Andrew,Ilie,59,22,1998
Gustavo,Kuerten,23,22,1998
Nicolas,Lapentti,90,22,1998
Carlos,Moya,5,22,1998
Magnus,Norman,52,22,1998
Mark,Philippoussis,15,22,1998
Marcelo,Rios,2,22,1998
Sjeng,Schalken,66,22,1998
John,Van Lottum,99,22,1998
Guillermo,Canas,71,22,1999
Jan Michael,Gambill,58,22,1999
Justin,Gimelstob,82,22,1999
Nicolas,Kiefer,6,22,1999
Stefan,Koubek,46,22,1999
Max,Mirnyi,74,22,1999
Fernando,Vicente,49,22,1999
Gaston,Gaudio,34,22,2000
Sebastien,Grosjean,19,22,2000
Tommy,Haas,23,22,2000
Dominik,Hrbaty,17,22,2000
Harel,Levy,59,22,2000
Alberto,Martin,79,22,2000
Mariano,Puerta,21,22,2000
Christophe,Rochus,74,22,2000
David,Sanchez,89,22,2000
Raemon,Sluiter,95,22,2000
Jiri,Vanek,77,22,2000
Vladimir,Voltchkov,46,22,2000
Mariano,Zabaleta,61,22,2000
Juan Ignacio,Chela,70,22,2001
Michel,Kratochvil,46,22,2001
Ivan,Ljubicic,37,22,2001
Nicolas,Massu,80,22,2001
Michal,Tabara,64,22,2001
James,Blake,28,22,2002
Juan Carlos,Ferrero,4,22,2002
Fernando,Gonzalez,18,22,2002
Luis,Horna,85,22,2002
Xavier,Malisse,25,22,2002
Albert,Montanes,78,22,2002
Marat,Safin,3,22,2002
Flavio,Saretta,92,22,2002
Nikolay,Davydenko,44,22,2003
Taylor,Dent,33,22,2003
Roger,Federer,2,22,2003
Mardy,Fish,20,22,2003
Victor,Hanescu,70,22,2003
Lleyton,Hewitt,17,22,2003
Irakli,Labadze,72,22,2003
Feliciano,Lopez,28,22,2003
Jurgen,Melzer,79,22,2003
Jarkko,Nieminen,36,22,2003
Olivier,Rochus,48,22,2003
Filippo,Volandri,47,22,2003
Jose,Acasuso,67,22,2004
Karol,Beck,44,22,2004
Guillermo,Coria,7,22,2004
David,Ferrer,49,22,2004
Robby,Ginepri,63,22,2004
Joachim,Johansson,11,22,2004
David,Nalbandian,9,22,2004
Tommy,Robredo,13,22,2004
Andy,Roddick,2,22,2004
Dmitry,Tursunov,80,22,2004
Mikhail,Youzhny,16,22,2004
Igor,Andreev,26,22,2005
Carlos,Berlocq,79,22,2005
Lukas,Dlouhy,98,22,2005
Guillermo,Garcia Lopez,91,22,2005
Philipp,Kohlschreiber,86,22,2005
Florian,Mayer,72,22,2005
Gilles,Muller,76,22,2005
Fernando,Verdasco,32,22,2005
Mario,Ancic,9,22,2006
Frank,Dancevic,88,22,2006
Juan,Monaco,69,22,2006
Andreas,Seppi,74,22,2006
Robin,Soderling,25,22,2006
Janko,Tipsarevic,64,22,2006
Nicolas,Almagro,28,22,2007
Marcos,Baghdatis,16,22,2007
Tomas,Berdych,14,22,2007
Simone,Bolelli,67,22,2007
Chris,Guccione,91,22,2007
Dudi,Sela,64,22,2007
Jo Wilfried,Tsonga,43,22,2007
Stanislas,Wawrinka,36,22,2007
Richard,Gasquet,25,22,2008
Marcel,Granollers,56,22,2008
Gael,Monfils,14,22,2008
Rafael,Nadal,1,22,2008
Eduardo,Schwank,58,22,2008
Sergiy,Stakhovsky,92,22,2008
Viktor,Troicki,57,22,2008
Daniel,Brands,92,22,2009
Jeremy,Chardy,32,22,2009
Novak,Djokovic,3,22,2009
Fabio,Fognini,54,22,2009
Lukas,Lacko,82,22,2009
Leonardo,Mayer,75,22,2009
Andy,Murray,4,22,2009
Sam,Querrey,25,22,2009
Mischa,Zverev,78,22,2009
Thomaz,Bellucci,31,22,2010
Marin,Cilic,14,22,2010
Thiemo,De Bakker,43,22,2010
Alexandr,Dolgopolov,48,22,2010
Ernests,Gulbis,24,22,2010
Adrian,Mannarino,83,22,2010
Pere,Riba,72,22,2010
Benoit,Paire,95,22,2011
Donald,Young,39,22,2011
Evgeny,Donskoy,81,22,2012
David,Goffin,46,22,2012
Jerzy,Janowicz,26,22,2012
Guido,Pella,97,22,2012
Milos,Raonic,13,22,2012
Guillaume,Rufin,92,22,2012
Pablo,Carreno Busta,64,22,2013
Grigor,Dimitrov,23,22,2013
Filip,Krajinovic,100,22,2014
Diego Sebastian,Schwartzman,61,22,2014
Jack,Sock,42,22,2014
Bernard,Tomic,56,22,2014
Taro,Daniel,96,22,2015
Dominic,Thiem,20,22,2015
Jiri,Vesely,41,22,2015
Phil,Dent,49,23,1973
Patrice,Dominguez,55,23,1973
Paul,Gerken,50,23,1973
Jiri,Hrebec,44,23,1973
Geoff,Masters,52,23,1973
Adriano,Panatta,14,23,1973
Jeff,Simpson,92,23,1973
Antonio,Zugarelli,69,23,1973
John,Alexander,26,23,1974
Paolo,Bertolucci,50,23,1974
Ross,Case,29,23,1974
Eddie,Dibbs,22,23,1974
Steve,Krulevitz,91,23,1974
Grover Raz,Reid,78,23,1974
Dick,Stockton,15,23,1974
Roscoe,Tanner,14,23,1974
Erik,Van Dillen,61,23,1974
John,Andrews,70,23,1975
Mike,Cahill,79,23,1975
Jimmy,Connors,1,23,1975
Wojtek,Fibak,58,23,1975
Brian,Gottfried,23,23,1975
Sandy,Mayer,28,23,1975
Sashi,Menon,88,23,1975
Harold,Solomon,17,23,1975
Guillermo,Vilas,2,23,1975
Kim,Warwick,49,23,1975
Corrado,Barazzutti,22,23,1976
Jim,Delaney,64,23,1976
James Chico,Hagey,73,23,1976
Jose,Higueras,42,23,1976
Raul,Ramirez,5,23,1976
Victor,Amaya,73,23,1977
Pat,Dupre,89,23,1977
Mark,Edmondson,99,23,1977
Mike,Fishbach,49,23,1977
Vitas,Gerulaitis,4,23,1977
Richard,Lewis,77,23,1977
John,Lloyd,33,23,1977
Bernard,Mitton,90,23,1977
Balazs,Taroczy,32,23,1977
Brian,Teacher,54,23,1977
Colin,Dowdeswell,75,23,1978
Peter,Fleming,26,23,1978
Rolf,Gehring,52,23,1978
Angel,Gimenez,42,23,1978
Francisco,Gonzalez,61,23,1978
Peter,Mcnamara,65,23,1978
Buster C,Mottram,28,23,1978
Victor,Pecci,46,23,1978
David,Schneider,82,23,1978
Javier,Soler,89,23,1978
Stanislav,Birner,84,23,1979
Bjorn,Borg,1,23,1979
Carlos,Gattiker,89,23,1979
Hans,Gildemeister,14,23,1979
Michael,Grant,96,23,1979
Bruce,Manson,80,23,1979
Billy,Martin,66,23,1979
Gene,Mayer,12,23,1979
John,Sadri,45,23,1979
Nick,Saviano,72,23,1979
Bill,Scanlon,41,23,1979
Pavel,Slozil,78,23,1979
Tomas,Smid,27,23,1979
Ferdi,Taygan,67,23,1979
John,Austin,98,23,1980
Chris,Lewis NZL,66,23,1980
Gianni,Ocleppo,94,23,1980
Vincent,Van Patten,42,23,1980
Christophe Roger,Vasselin,48,23,1980
Mike,Bauer,89,23,1983
Bernard,Boileau,71,23,1983
Mark,Dickson,40,23,1983
Heinz,Gunthardt,85,23,1983
Jay,Lapidus,39,23,1983
John,Mcenroe,1,23,1983
Mel,Purcell,27,23,1983
Eliot,Teltscher,14,23,1983
Robert,Vant Hof,64,23,1983
Tim,Wilkison,55,23,1983
Van,Winitsky,53,23,1983
Pablo,Arraya,58,23,1984
Peter,Doohan,85,23,1984
John,Fitzgerald,37,23,1984
Brad,Gilbert,23,23,1984
Anders,Jarryd,6,23,1984
Ramesh,Krishnan,24,23,1984
Todd,Nelson,97,23,1984
Danie,Visser,72,23,1984
Juan,Aguilera,79,23,1985
Jeremy,Bates,99,23,1985
Sergio,Casal,38,23,1985
Scott,Davis,17,23,1985
Jan,Gunnarsson,25,23,1985
Marcelo,Ingaramo,75,23,1985
Glenn,Michibata,76,23,1985
David,Pate,26,23,1985
Diego,Perez,55,23,1985
Shahar,Perkiss,72,23,1985
Ben,Testerman,89,23,1985
Martin,Wostenholme,93,23,1985
Matt,Anger,59,23,1986
Paul,Annacone,43,23,1986
Simone,Colombo,65,23,1986
Stefan,Eriksson,100,23,1986
Sammy,Giammalva Jr,86,23,1986
Greg,Holmes,76,23,1986
Henri,Leconte,6,23,1986
Wally,Masur,87,23,1986
Luiz,Mattar,95,23,1986
Joakim,Nystrom,7,23,1986
Mikael,Pernfors,12,23,1986
Libor,Pimek,71,23,1986
Robert,Seguso,28,23,1986
Thierry,Tulasne,20,23,1986
Todd,Witsken,55,23,1986
Slobodan,Zivojinovic,40,23,1986
Ronald,Agenor,44,23,1987
Jimmy,Arias,34,23,1987
Lawson,Duncan,93,23,1987
Jim,Grabb,66,23,1987
Jakob,Hlasek,23,23,1987
Martin,Jaite,14,23,1987
Miloslav,Mecir,6,23,1987
Gary,Muller,68,23,1987
Ricki,Osterthun,75,23,1987
Jim,Pugh,45,23,1987
Milan,Srejber,62,23,1987
Mats,Wilander,3,23,1987
Pieter,Aldrich,68,23,1988
Darren,Cahill,27,23,1988
Paolo,Cane,81,23,1988
Pat,Cash,20,23,1988
Guy,Forget,48,23,1988
John,Frawley,60,23,1988
Eric,Jelen,76,23,1988
Peter,Lundgren,66,23,1988
Amos,Mansdorf,26,23,1988
Derrick,Rostagno,36,23,1988
Emilio,Sanchez,17,23,1988
Marian,Vajda,72,23,1988
Mark,Woodforde,42,23,1988
Alex,Antonitsch,83,23,1989
Jay,Berger,10,23,1989
Andrei,Chesnokov,22,23,1989
Stefan,Edberg,3,23,1989
Paul,Haarhuis,57,23,1989
Nicklas,Kroon,46,23,1989
Patrik,Kuhnen,69,23,1989
Jonas,Svensson,41,23,1989
Lars Anders,Wahlgren,93,23,1989
Boris,Becker,2,23,1990
Christian,Bergstrom,80,23,1990
Gilad,Bloom,66,23,1990
Marcelo,Filippini,49,23,1990
Magnus,Gustafsson,31,23,1990
Aaron,Krickstein,20,23,1990
Thomas,Muster,7,23,1990
Veli,Paloheimo,69,23,1990
Carl Uwe,Steeb,46,23,1990
Alexander,Volkov,24,23,1990
Jaime,Yzaga,87,23,1990
Omar,Camporese,24,23,1991
Tomas,Carbonell,96,23,1991
Francisco,Clavet,30,23,1991
Carlos,Costa,55,23,1991
Rodolphe,Gilbert,92,23,1991
Mark,Koevermans,71,23,1991
Petr,Korda,9,23,1991
Christian,Saceanu,84,23,1991
Javier,Sanchez,32,23,1991
Horst,Skoff,33,23,1991
Michael,Stich,4,23,1991
Markus,Zoecke,57,23,1991
Arnaud,Boetsch,27,23,1992
Alberto,Mancini,31,23,1992
Guillermo,Perez Roldan,50,23,1992
Cedric,Pioline,33,23,1992
Gilbert,Schaller,82,23,1992
Brett,Steven,73,23,1992
Malivai,Washington,13,23,1992
David,Wheaton,44,23,1992
Bart,Wuyts,74,23,1992
Andre,Agassi,24,23,1993
Andrei,Cherkasov,37,23,1993
Jim,Courier,3,23,1993
Slava,Dosedel,68,23,1993
Jacco,Eltingh,63,23,1993
Richard,Fromberg,40,23,1993
Renzo,Furlan,72,23,1993
Marc Kevin,Goellner,32,23,1993
Magnus,Larsson,39,23,1993
Todd,Martin,13,23,1993
Guillaume,Raoux,85,23,1993
Marc,Rosset,16,23,1993
Jan,Siemerink,53,23,1993
Jason,Stoltenberg,44,23,1993
Chuck,Adams,44,23,1994
Sergi,Bruguera,4,23,1994
Wayne,Ferreira,12,23,1994
Goran,Ivanisevic,5,23,1994
Richard,Krajicek,17,23,1994
Nicklas,Kulti,99,23,1994
Fernando,Meligeni,91,23,1994
Jared,Palmer,36,23,1994
David,Rikl,80,23,1994
Pete,Sampras,1,23,1994
Jonathan,Stark,65,23,1994
Daniel,Vacek,45,23,1994
Todd,Woodbridge,90,23,1994
Jonas,Bjorkman,30,23,1995
Jordi,Burillo,45,23,1995
Michael,Chang,5,23,1995
Martin,Damm,59,23,1995
Filip,Dewulf,65,23,1995
Hernan,Gumy,62,23,1995
Christian,Ruud,75,23,1995
Karim,Alami,56,23,1996
Hicham,Arazi,79,23,1996
Alberto,Berasategui,19,23,1996
Kenneth,Carlsen,73,23,1996
Patrik,Fredriksson,87,23,1996
Andrea,Gaudenzi,55,23,1996
Michael,Joyce,89,23,1996
David,Prinosil,39,23,1996
Patrick,Rafter,62,23,1996
Greg,Rusedski,48,23,1996
Juan Albert,Viloca Puig,84,23,1996
Chris,Woodruff,43,23,1996
Alex,Corretja,12,23,1997
Marcello,Craca,92,23,1997
Scott,Draper,58,23,1997
Thomas,Enqvist,28,23,1997
Tim,Henman,17,23,1997
Yevgeny,Kafelnikov,5,23,1997
Jan,Kroslak,85,23,1997
Karol,Kucera,24,23,1997
Felix,Mantilla,16,23,1997
Andrei,Medvedev,27,23,1997
Dinu,Pescariu,80,23,1997
Alex,Radulescu,71,23,1997
Vincent,Spadea,88,23,1997
Johan,Van Herck,66,23,1997
Albert,Costa,14,23,1998
Hendrik,Dreekmann,87,23,1998
Thomas,Johansson,17,23,1998
Juan Antonio,Marin,70,23,1998
Jiri,Novak,75,23,1998
Franco,Squillari,60,23,1998
Bohdan,Ulihrach,33,23,1998
Galo,Blanco,75,23,1999
Jacobo,Diaz,92,23,1999
Nicolas,Escude,37,23,1999
Paul,Goldstein,89,23,1999
Andrew,Ilie,54,23,1999
Gustavo,Kuerten,5,23,1999
Nicolas,Lapentti,8,23,1999
Cecil,Mamiit,93,23,1999
Carlos,Moya,23,23,1999
Magnus,Norman,15,23,1999
Mark,Philippoussis,19,23,1999
Marcelo,Rios,9,23,1999
Sjeng,Schalken,44,23,1999
Rainer,Schuettler,48,23,1999
John,Van Lottum,69,23,1999
Arnaud,Clement,18,23,2000
Jan Michael,Gambill,33,23,2000
Justin,Gimelstob,97,23,2000
Markus,Hantschk,72,23,2000
Nicolas,Kiefer,20,23,2000
Stefan,Koubek,54,23,2000
Max,Mirnyi,40,23,2000
Fernando,Vicente,47,23,2000
Gaston,Gaudio,48,23,2001
Sebastien,Grosjean,6,23,2001
Tommy,Haas,8,23,2001
Markus,Hipfl,76,23,2001
Dominik,Hrbaty,36,23,2001
Harel,Levy,78,23,2001
Alberto,Martin,41,23,2001
Christophe,Rochus,69,23,2001
Michael,Russell,87,23,2001
David,Sanchez,74,23,2001
Vladimir,Voltchkov,99,23,2001
Mariano,Zabaleta,59,23,2001
Juan Ignacio,Chela,23,23,2002
Arnaud,Di Pasquale,98,23,2002
Michel,Kratochvil,69,23,2002
Ivan,Ljubicic,49,23,2002
Nicolas,Massu,56,23,2002
Jeff,Morrison,97,23,2002
Paradorn,Srichaphan,16,23,2002
James,Blake,37,23,2003
Juan Carlos,Ferrero,3,23,2003
Fernando,Gonzalez,35,23,2003
Luis,Horna,64,23,2003
Xavier,Malisse,55,23,2003
Albert,Montanes,81,23,2003
Marat,Safin,77,23,2003
Flavio,Saretta,45,23,2003
Julien,Benneteau,65,23,2004
Nikolay,Davydenko,28,23,2004
Taylor,Dent,32,23,2004
Roger,Federer,1,23,2004
Mardy,Fish,37,23,2004
Victor,Hanescu,92,23,2004
Lleyton,Hewitt,3,23,2004
Irakli,Labadze,78,23,2004
Feliciano,Lopez,25,23,2004
Ricardo,Mello,71,23,2004
Jurgen,Melzer,39,23,2004
Jarkko,Nieminen,77,23,2004
Olivier,Rochus,66,23,2004
Potito,Starace,76,23,2004
Filippo,Volandri,43,23,2004
Jose,Acasuso,40,23,2005
Karol,Beck,57,23,2005
Guillermo,Coria,8,23,2005
David,Ferrer,14,23,2005
Robby,Ginepri,15,23,2005
Joachim,Johansson,53,23,2005
Paul Henri,Mathieu,46,23,2005
David,Nalbandian,6,23,2005
Boris,Pashanski,82,23,2005
Bobby,Reynolds,92,23,2005
Tommy,Robredo,19,23,2005
Andy,Roddick,3,23,2005
Dmitry,Tursunov,60,23,2005
Kristof,Vliegen,93,23,2005
Mikhail,Youzhny,43,23,2005
Igor,Andreev,91,23,2006
Lukas,Dlouhy,99,23,2006
Guillermo,Garcia Lopez,68,23,2006
Jan,Hajek,76,23,2006
Philipp,Kohlschreiber,62,23,2006
Yen Hsun,Lu,89,23,2006
Florian,Mayer,56,23,2006
Fernando,Verdasco,35,23,2006
Mario,Ancic,83,23,2007
Frank,Dancevic,72,23,2007
Steve,Darcis,86,23,2007
Juan,Monaco,23,23,2007
Andreas,Seppi,50,23,2007
Gilles,Simon,29,23,2007
Robin,Soderling,41,23,2007
Janko,Tipsarevic,52,23,2007
Nicolas,Almagro,18,23,2008
Marcos,Baghdatis,98,23,2008
Tomas,Berdych,20,23,2008
Simone,Bolelli,41,23,2008
Teymuraz,Gabashvili,65,23,2008
Daniel,Gimeno Traver,90,23,2008
Chris,Guccione,96,23,2008
Jo Wilfried,Tsonga,6,23,2008
Stanislas,Wawrinka,13,23,2008
Andreas,Beck,39,23,2009
Pablo,Cuevas,50,23,2009
Richard,Gasquet,52,23,2009
Marcel,Granollers,91,23,2009
Gael,Monfils,13,23,2009
Rafael,Nadal,2,23,2009
Sergiy,Stakhovsky,60,23,2009
Viktor,Troicki,29,23,2009
Jeremy,Chardy,45,23,2010
Novak,Djokovic,3,23,2010
Fabio,Fognini,55,23,2010
Santiago,Giraldo,64,23,2010
Andrey,Golubev,36,23,2010
Robin,Haase,65,23,2010
Marsel,Ilhan,90,23,2010
Mikhail,Kukushkin,59,23,2010
Lukas,Lacko,89,23,2010
Illya,Marchenko,81,23,2010
Leonardo,Mayer,94,23,2010
Andy,Murray,4,23,2010
Sam,Querrey,18,23,2010
Mischa,Zverev,82,23,2010
Thomaz,Bellucci,37,23,2011
Marin,Cilic,21,23,2011
Juan Martin,Del Potro,11,23,2011
Alexandr,Dolgopolov,15,23,2011
Ernests,Gulbis,61,23,2011
Adrian,Mannarino,87,23,2011
Albert,Ramos,66,23,2011
Pere,Riba,89,23,2011
Aljaz,Bedene,86,23,2012
Martin,Klizan,30,23,2012
Kei,Nishikori,19,23,2012
Benoit,Paire,47,23,2012
Federico,Delbonis,55,23,2013
Jerzy,Janowicz,21,23,2013
Bradley,Klahn,97,23,2013
Vasek,Pospisil,32,23,2013
Milos,Raonic,11,23,2013
Pablo,Carreno Busta,51,23,2014
Grigor,Dimitrov,11,23,2014
Andrey,Kuznetsov,92,23,2014
Yuki,Bhambri,93,23,2015
Marco,Cecchinato,90,23,2015
Damir,Dzumhur,82,23,2015
Denis,Kudla,69,23,2015
Diego Sebastian,Schwartzman,88,23,2015
Jack,Sock,26,23,2015
Bernard,Tomic,18,23,2015
Jeff,Borowiak,82,24,1973
Mike,Estep,75,24,1973
Hans,Kary,85,24,1973
Karl,Meiler,32,24,1973
Wanaro,Ngodrella,89,24,1973
Manuel,Orantes,7,24,1973
Andrew,Pattison,53,24,1973
Patrick,Proisy,41,24,1973
Haroon,Rahim,90,24,1973
Phil,Dent,41,24,1974
Patrice,Dominguez,63,24,1974
Paul,Gerken,65,24,1974
Jiri,Hrebec,43,24,1974
Geoff,Masters,53,24,1974
Fred,Mcnair,96,24,1974
Adriano,Panatta,34,24,1974
Antonio,Zugarelli,73,24,1974
John,Alexander,8,24,1975
Paolo,Bertolucci,57,24,1975
Ricardo,Cano,42,24,1975
Ross,Case,27,24,1975
Eddie,Dibbs,18,24,1975
Kjell,Johansson,97,24,1975
Dick,Stockton,30,24,1975
Roscoe,Tanner,9,24,1975
Erik,Van Dillen,72,24,1975
Byron,Bertram,57,24,1976
Jean Francois,Caujolle,95,24,1976
Jimmy,Connors,1,24,1976
Wojtek,Fibak,14,24,1976
Brian,Gottfried,10,24,1976
Sandy,Mayer,75,24,1976
Sashi,Menon,90,24,1976
Terry,Moor,71,24,1976
Harold,Solomon,8,24,1976
Guillermo,Vilas,6,24,1976
Kim,Warwick,67,24,1976
Vijay,Amritraj,46,24,1977
Corrado,Barazzutti,11,24,1977
Rick,Fagel,78,24,1977
Jose,Higueras,30,24,1977
Hank,Pfister,48,24,1977
Raul,Ramirez,8,24,1977
Keith,Richardson,74,24,1977
Victor,Amaya,37,24,1978
Pat,Dupre,33,24,1978
Mark,Edmondson,79,24,1978
Vitas,Gerulaitis,5,24,1978
Paul,Kronk,85,24,1978
John,Lloyd,66,24,1978
Bernard,Mitton,62,24,1978
Ulrich,Pinner,35,24,1978
Balazs,Taroczy,20,24,1978
Brian,Teacher,31,24,1978
Peter,Fleming,13,24,1979
Rolf,Gehring,54,24,1979
Francisco,Gonzalez,77,24,1979
Peter,Mcnamara,46,24,1979
Buster C,Mottram,32,24,1979
Victor,Pecci,11,24,1979
Trey,Waltke,89,24,1979
Butch,Walts,39,24,1979
Bjorn,Borg,1,24,1980
Jose Luis,Damiani,67,24,1980
Christophe,Freyss,82,24,1980
Hans,Gildemeister,30,24,1980
Bruce,Manson,79,24,1980
Gene,Mayer,5,24,1980
John,Sadri,14,24,1980
Nick,Saviano,96,24,1980
Bill,Scanlon,26,24,1980
Pavel,Slozil,65,24,1980
Tomas,Smid,23,24,1980
Ferdi,Taygan,81,24,1980
Lloyd,Bourne,73,24,1983
Jose Luis,Clerc,6,24,1983
Kevin,Curren,17,24,1983
Peter,Elter,81,24,1983
Eric,Fromm,63,24,1983
Drew,Gitlin,90,24,1983
Shlomo,Glickstein,38,24,1983
Chip,Hooper,30,24,1983
Johan,Kriek,12,24,1983
Fernando,Luna,62,24,1983
Nduka,Odizor,80,24,1983
Alejandro,Ganzabal,63,24,1984
Andres,Gomez,5,24,1984
Bob,Green,40,24,1984
Mike,Leach,95,24,1984
Ivan,Lendl,3,24,1984
Tim,Mayotte,44,24,1984
Yannick,Noah,9,24,1984
Pedro,Rebolledo,98,24,1984
Blaine,Willenborg,79,24,1984
Pablo,Arraya,88,24,1985
Mike,De Palmer,83,24,1985
Kelly,Evernden,86,24,1985
Brad,Gilbert,18,24,1985
Anders,Jarryd,8,24,1985
Ramesh,Krishnan,40,24,1985
Florin,Segarceanu,97,24,1985
Christo,Steyn,77,24,1985
Sergio,Casal,62,24,1986
Scott,Davis,39,24,1986
Gary,Donnelly,50,24,1986
Jan,Gunnarsson,57,24,1986
David,Pate,30,24,1986
Diego,Perez,61,24,1986
Ben,Testerman,93,24,1986
Christo,Van Rensburg,69,24,1986
Matt,Anger,91,24,1987
Paul,Annacone,32,24,1987
Francesco,Cancellotti,74,24,1987
Josef,Cihak,77,24,1987
Ken,Flach,100,24,1987
Dan,Goldie,50,24,1987
Henri,Leconte,21,24,1987
Wally,Masur,35,24,1987
Luiz,Mattar,38,24,1987
Joakim,Nystrom,16,24,1987
Mikael,Pernfors,33,24,1987
Libor,Pimek,95,24,1987
Thierry,Tulasne,57,24,1987
Paul,Vojtischek,81,24,1987
Slobodan,Zivojinovic,22,24,1987
Ronald,Agenor,28,24,1988
Jordi,Arrese,33,24,1988
Lawson,Duncan,58,24,1988
Jim,Grabb,91,24,1988
Jakob,Hlasek,8,24,1988
Martin,Jaite,54,24,1988
Eduardo,Masso,87,24,1988
Richard,Matuszewski,56,24,1988
Miloslav,Mecir,13,24,1988
Jim,Pugh,63,24,1988
Milan,Srejber,41,24,1988
Mats,Wilander,1,24,1988
Darren,Cahill,53,24,1989
Paolo,Cane,33,24,1989
Grant,Connell,94,24,1989
Jean Philippe,Fleurian,78,24,1989
Guy,Forget,36,24,1989
Eric,Jelen,47,24,1989
Peter,Lundgren,71,24,1989
Amos,Mansdorf,39,24,1989
Gary,Muller,90,24,1989
Karel,Novacek,74,24,1989
Richey,Reneberg,80,24,1989
Derrick,Rostagno,89,24,1989
Emilio,Sanchez,19,24,1989
Mark,Woodforde,75,24,1989
Alex,Antonitsch,64,24,1990
Jay,Berger,18,24,1990
Thierry,Champion,59,24,1990
Andrei,Chesnokov,12,24,1990
Horacio,De La Pena,63,24,1990
Stefan,Edberg,1,24,1990
Paul,Haarhuis,54,24,1990
Mark,Kratzmann,75,24,1990
Patrik,Kuhnen,82,24,1990
Brad,Pearce,78,24,1990
Udo,Riglewski,88,24,1990
Jonas,Svensson,11,24,1990
Robbie,Weiss,89,24,1990
Boris,Becker,3,24,1991
Christian,Bergstrom,44,24,1991
Olivier,Delaitre,39,24,1991
Javier,Frana,67,24,1991
Magnus,Gustafsson,12,24,1991
Aaron,Krickstein,34,24,1991
Shuzo,Matsuoka,69,24,1991
Christian,Miniussi,83,24,1991
Thomas,Muster,35,24,1991
Veli,Paloheimo,98,24,1991
Carl Uwe,Steeb,38,24,1991
Alexander,Volkov,25,24,1991
Jaime,Yzaga,53,24,1991
Omar,Camporese,42,24,1992
Tomas,Carbonell,65,24,1992
Francisco,Clavet,22,24,1992
Carlos,Costa,14,24,1992
Rodolphe,Gilbert,70,24,1992
Henrik,Holm,19,24,1992
Bernd,Karbacher,52,24,1992
Petr,Korda,7,24,1992
Francisco,Roig,72,24,1992
Javier,Sanchez,41,24,1992
Horst,Skoff,92,24,1992
Michael,Stich,15,24,1992
Jeff,Tarango,45,24,1992
Byron,Black,84,24,1993
Arnaud,Boetsch,20,24,1993
Guillermo,Perez Roldan,82,24,1993
Cedric,Pioline,10,24,1993
Gilbert,Schaller,78,24,1993
Brett,Steven,43,24,1993
Malivai,Washington,23,24,1993
David,Wheaton,54,24,1993
Andre,Agassi,2,24,1994
Cristiano,Caratti,82,24,1994
Jim,Courier,13,24,1994
Franco,Davin,61,24,1994
Slava,Dosedel,29,24,1994
Jacco,Eltingh,23,24,1994
Richard,Fromberg,58,24,1994
Renzo,Furlan,41,24,1994
Marc Kevin,Goellner,79,24,1994
Magnus,Larsson,19,24,1994
Todd,Martin,10,24,1994
Marc,Rosset,14,24,1994
Jan,Siemerink,81,24,1994
Jason,Stoltenberg,21,24,1994
Sergi,Bruguera,13,24,1995
Wayne,Ferreira,9,24,1995
Goran,Ivanisevic,10,24,1995
Richard,Krajicek,11,24,1995
Fernando,Meligeni,64,24,1995
Stefano,Pescosolido,68,24,1995
David,Rikl,83,24,1995
Pete,Sampras,1,24,1995
Jonathan,Stark,100,24,1995
Michael,Tebbutt,94,24,1995
Daniel,Vacek,27,24,1995
Todd,Woodbridge,33,24,1995
Jonas,Bjorkman,69,24,1996
Jordi,Burillo,99,24,1996
Michael,Chang,2,24,1996
Martin,Damm,50,24,1996
Filip,Dewulf,96,24,1996
Hernan,Gumy,42,24,1996
Christian,Ruud,59,24,1996
Mikael,Tillstrom,47,24,1996
Karim,Alami,55,24,1997
Hicham,Arazi,38,24,1997
Alberto,Berasategui,23,24,1997
Wayne,Black,99,24,1997
Kenneth,Carlsen,75,24,1997
Andrea,Gaudenzi,57,24,1997
Oliver,Gross,86,24,1997
Albert,Portas,35,24,1997
David,Prinosil,89,24,1997
Patrick,Rafter,2,24,1997
Lionel,Roux,60,24,1997
Greg,Rusedski,6,24,1997
Sargis,Sargsian,69,24,1997
Juan Albert,Viloca Puig,72,24,1997
Chris,Woodruff,30,24,1997
Alex,Corretja,3,24,1998
Scott,Draper,51,24,1998
Thomas,Enqvist,22,24,1998
Tim,Henman,7,24,1998
Yevgeny,Kafelnikov,11,24,1998
Jan,Kroslak,89,24,1998
Karol,Kucera,8,24,1998
Felix,Mantilla,20,24,1998
Andrei,Medvedev,62,24,1998
Andrei,Pavel,68,24,1998
Vincent,Spadea,42,24,1998
Adrian,Voinea,71,24,1998
George,Bastl,81,24,1999
Albert,Costa,18,24,1999
Thomas,Johansson,39,24,1999
Jens,Knippschild,91,24,1999
Juan Antonio,Marin,70,24,1999
